job_name,salary,company_name,company_number,company_location,exprience,education
安卓开发高级工程师,12-18K,格隆汇,100-499人,深圳 南山区 科技园,3-5年,本科
安卓开发,8-12K,一号互联,100-499人,深圳 福田区 车公庙,1-3年,本科
Android系统开发,10-15K,博视联,20-99人,深圳 宝安区 西乡,1-3年,大专
安卓开发工程师,22-40K,OPPO,10000人以上,深圳 福田区 沙头,3-5年,本科
Android,10-15K,上海扬谷,20-99人,深圳 南山区 西丽,1-3年,本科
安卓工程师,15-25K,ssnav,0-20人,深圳 龙岗区 平湖,3-5年,大专
Android图形工程师,20-35K,一加手机,1000-9999人,深圳 福田区 车公庙,经验不限,本科
Android 应用/系统工程师（AI方向）,20-30K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
架构师/资深Android开发,30-45K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
安卓开发工程师,7-10K,上海三高计算机,500-999人,深圳 福田区 石厦,1-3年,大专
Android架构师,25-40K,一加手机,1000-9999人,深圳 福田区 车公庙,经验不限,本科
Android程序员,8-12K,租客网,100-499人,深圳 南山区 南头,3-5年,大专
高级Android安全工程师,20-40K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
多媒体Android平台研发工程师,20-40K,今日头条,10000人以上,深圳 南山区 南油,1-3年,本科
Android开发工程师,10-20K,房极客,100-499人,深圳 南山区 后海,3-5年,本科
Android开发工程师,7-14K,Siring思锐,0-20人,深圳 福田区 景田,1-3年,本科
Android应用开发工程师,18-30K,柔宇科技,1000-9999人,深圳 南山区 科技园,3-5年,本科
安卓应用工程师,10-15K,创数智享,0-20人,深圳 南山区 华侨城,1-3年,本科
Android开发,14-25K,诚迈科技,1000-9999人,深圳 南山区 科技园,3-5年,本科
客户端负责人（android）,30-60K,无秘,100-499人,深圳 南山区 蛇口,5-10年,本科
30360-社交平台Android开发工程师（深圳）,20-40K,腾讯,10000人以上,深圳 南山区 南头,1-3年,本科
Android研发工程师,13-19K,维豪信息,100-499人,深圳 南山区 科技园,1-3年,本科
Android/Linux内核开发,30-50K,华为技术有限公司,10000人以上,深圳 龙岗区 坂田,5-10年,本科
Android系统软件工程师,10-15K,海勤科技,100-499人,深圳 南山区 科技园,经验不限,大专
Android开发工程师,15-20K,华智融,100-499人,深圳 南山区 南头,3-5年,本科
Android开发工程师,12-20K,一起练琴,0-20人,深圳 宝安区 西乡,经验不限,本科
Android开发工程师,14-15K,亿腾信息,100-499人,深圳 南山区 科技园,3-5年,本科
Android,8-13K,中环智卫,20-99人,深圳 南山区 蛇口,1-3年,本科
Android开发工程师,15-30K,量子云,100-499人,深圳 南山区 科技园,3-5年,本科
Android开发工程师,15-25K,回收宝,500-999人,深圳 南山区 深圳湾,3-5年,本科
