job_name,salary,company_name,company_number,company_location,exprience,education
Android,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
Android,20-40K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android,15-30K,OPPO广东移动...,10000人以上,深圳 南山区 深圳湾,1年以内,本科
安卓,10-20K,软通动力,10000人以上,深圳 龙岗区 坂田,1-3年,本科
Android,20-40K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
Android,25-50K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android,25-50K,腾讯,10000人以上,深圳 南山区 科技园,3-5年,本科
Android,18-35K,货拉拉科技,1000-9999人,深圳 福田区 梅林,5-10年,本科
Android,12-18K,哈里科技HarryKid,0-20人,深圳 南山区 大学城,3-5年,本科
Android,25-40K,海信集团,10000人以上,深圳 罗湖区 新秀,5-10年,本科
安卓APP,12-20K,诚迈科技,1000-9999人,深圳 南山区 深圳湾,3-5年,本科
Android,10-15K,深圳顺为管理有限公司,100-499人,深圳 福田区 竹子林,1-3年,大专
Android工程师,13-20K,软通动力,10000人以上,深圳 南山区 前海,3-5年,本科
Android,30-60K,vivo,10000人以上,深圳 福田区 梅林,1-3年,本科
Android测试工程师,15-20K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
IOS/安卓,20-40K,蚂蚁金服,10000人以上,深圳 南山区 深圳湾,5-10年,本科
Android,8-13K,蓝鲸创服,20-99人,深圳 宝安区 新安,1-3年,学历不限
Android驱动工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
高级Android工程师,25-40K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
安卓应用工程师（性能方向）,18-35K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
资深Android架构师 (MJ000808),25-35K·15薪,SHEIN（深圳）,1000-9999人,深圳 南山区 西丽,5-10年,学历不限
Android,15-30K,软通动力,10000人以上,深圳 龙岗区 坂田,3-5年,本科
Android,12-18K,尊尚汇,100-499人,深圳 罗湖区 银湖,3-5年,大专
android,10-15K,前宝通,20-99人,深圳 福田区 石厦,3-5年,大专
Android,30-40K,瑞安智,500-999人,深圳 南山区 南头,3-5年,本科
Android,7-9K,特别特科技,20-99人,深圳,1年以内,本科
Android,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
Android工程师,8-13K,深圳中悦,20-99人,深圳,1-3年,本科
Android,20-40K,vivo,10000人以上,深圳 福田区 梅林,3-5年,本科
