job_name,salary,company_name,company_number,company_location,exprience,education
Android,8-13K,虎克软件,20-99人,深圳 南山区 科技园,3-5年,本科
安卓开发工程师,12-20K·15薪,大宇无限,100-499人,深圳 南山区 科技园,1年以内,本科
Android应用软件工程师,30-60K,vivo,10000人以上,深圳 福田区 梅林,3-5年,本科
Android工程师,12-20K,暴雪奇迹,100-499人,深圳 南山区 科技园,3-5年,本科
安卓工程师,18-35K,匠鑫,20-99人,深圳 南山区 南山中心,3-5年,本科
安卓开发工程师,10-20K,中软国际,10000人以上,深圳 龙岗区 坂田,3-5年,本科
Android软件经理,20-30K,深圳市亿道控股集团,500-999人,深圳 宝安区 新安,3-5年,本科
安卓工程师,5-10K,中合创,100-499人,深圳 龙岗区 双龙,1-3年,本科
Android,11-20K,普联网络,20-99人,深圳 南山区 科技园,1-3年,本科
Android framework工程师,13-20K,远特科技,100-499人,深圳 南山区 科技园,3-5年,本科
Android工程师,6-10K,永昌达,100-499人,深圳 宝安区 沙井,1-3年,大专
Android,15-20K,华飞,0-20人,深圳 龙华区 龙华,3-5年,本科
Android系统软件工程师,15-20K,康冠,1000-9999人,深圳 龙岗区 万科,1-3年,本科
Android研发工程师,15-30K,百度,10000人以上,深圳 南山区 科技园,经验不限,本科
Android Framework工程师,15-30K,三星半导体(中国...,100-499人,深圳 南山区 后海,经验不限,本科
Android开发工程师（内部平台方向）,15-30K·15薪,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
android系统工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,学历不限
Android高级开发,20-40K,腾乐科技,500-999人,深圳 南山区 南头,5-10年,本科
Android 高级应用开发工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android,15-30K·13薪,亿亿科技,0-20人,深圳 南山区 大冲,5-10年,大专
Android/系统应用/应用开发/,14-26K,软通动力,10000人以上,深圳 罗湖区 布心,1-3年,大专
Android安全工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
安卓应用工程师（安全方向）,14-28K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android系统架构师（功耗方向）,20-40K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
安卓开发工程师,18-30K·15薪,大宇无限,100-499人,深圳 南山区 科技园,3-5年,本科
安卓开发工程师,11-18K,感臻科技,100-499人,深圳 南山区 科技园,3-5年,大专
android开发工程师,10-15K,时光发声传播,20-99人,深圳 南山区 科技园,3-5年,大专
Android开发工程师,9-14K,紫川软件,500-999人,深圳 福田区 香蜜湖,3-5年,本科
Android开发工程师/YX,15-30K,深圳云天励飞,500-999人,深圳 福田区 香蜜湖,1-3年,本科
Android,5-10K,智能鸿云,0-20人,深圳 宝安区 西乡,1年以内,大专
