job_name,salary,company_name,company_number,company_location,exprience,education
安卓工程师,10-15K,课纳思,20-99人,深圳 龙岗区 坂田,1-3年,本科
Android,9-14K·14薪,云翔投资,0-20人,深圳 龙岗区 坂田,3-5年,本科
Android,10-12K,易联视通,0-20人,深圳 南山区 西丽,3-5年,大专
Android TV开发工程师,15-25K,同洲电子,500-999人,深圳 南山区 科技园,1-3年,本科
Android开发,7-12K,阿卡索外教网,1000-9999人,深圳 罗湖区 国贸,1-3年,大专
Android,15-30K,次元空间,0-20人,深圳 南山区 科技园,1-3年,本科
安卓开发工程师,10-15K,太极云软,100-499人,深圳 南山区 科技园,1-3年,本科
Android应用开发工程师,8-13K,布谷鸟,100-499人,深圳 南山区 南头,1年以内,本科
Android测试工程师/测试专家,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
Android系统架构师（Framework方向）,20-40K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android应用开发工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
Android逆向工程师,20-40K,OPPO,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android开发工程师,12-20K,成功快车,100-499人,深圳 南山区 科技园,3-5年,大专
手机QQ空间Android开发,15-30K,腾讯,10000人以上,深圳 南山区 科技园,3-5年,本科
Android系统软件工程师,12-20K,深圳市艾博电子商务,100-499人,深圳 宝安区 新安,1-3年,本科
安卓开发工程师,8-13K,捷迅软件,20-99人,深圳 宝安区 西乡,1-3年,大专
Android软件工程师,20-23K,一加手机,1000-9999人,深圳 福田区 沙头,3-5年,本科
Android开发工程师,12-24K,迷你玩科技游戏,100-499人,深圳 南山区 前海,3-5年,本科
Android开发工程师,8-15K,卓纬科技,100-499人,深圳 南山区 科技园,3-5年,本科
安卓开发工程师（RN）,15-25K·15薪,绿米,500-999人,深圳 南山区 西丽,3-5年,本科
Android SDK开发工程师,12-20K,灵游互娱,100-499人,深圳 南山区 科技园,1-3年,本科
安卓开发工程师,13-25K,软通动力,10000人以上,深圳 龙岗区 万科城,3-5年,本科
安卓工程师,10-12K,租客网,100-499人,深圳 南山区 南头,经验不限,大专
Android驱动工程师,12-20K,沃特沃德,10000人以上,深圳 南山区 蛇口,3-5年,本科
Android 系统工程师,20-30K,柔宇科技,1000-9999人,深圳 南山区 科技园,5-10年,本科
android驱动开发工程师,30-60K,vivo,10000人以上,深圳 福田区 梅林,3-5年,本科
Android研发工程师,14-18K·13薪,兴融联科技,100-499人,深圳 罗湖区 万象城,3-5年,大专
Android,8-11K,深软思创,0-20人,深圳 宝安区 西乡,3-5年,大专
安卓开发工程师,8-11K,艾特,20-99人,深圳 南山区 科技园,1-3年,大专
android软件工程师,15-25K,车联天下,100-499人,深圳 宝安区 新安,3-5年,本科
